"Year";"idSchool";"idClass";"idChild";"Gender";"age";"ansia";"geom"
2009;"School1";"Class1";"Child1";"F";10.19;0.92;0.424
2009;"School1";"Class1";"Child2";"M";10.28;-0.529;0.059
2009;"School1";"Class1";"Child3";"F";9.71;-0.576;-0.59
2009;"School1";"Class1";"Child4";"M";10.08;0.916;0.564
2009;"School1";"Class1";"Child5";"F";10.01;0.162;0.269
2009;"School1";"Class1";"Child6";"F";10.34;-0.22;-0.329
2009;"School1";"Class1";"Child7";"M";9.7;0.375;0.951
2009;"School1";"Class1";"Child8";"F";9.8;0.516;0.552
2009;"School1";"Class1";"Child9";"M";9.5;-0.73;1.961
2009;"School1";"Class1";"Child10";"M";9.63;-1.206;0.81
2009;"School1";"Class1";"Child11";"M";10.23;1.093;0.779
2009;"School1";"Class1";"Child12";"M";9.78;1.199;-0.008
2009;"School1";"Class1";"Child13";"M";9.52;-0.526;0.913
2009;"School1";"Class1";"Child14";"M";10.11;-0.532;1.188
2009;"School1";"Class1";"Child15";"M";10.27;0.188;0.893
2009;"School1";"Class1";"Child16";"M";10.5;1.103;-0.655
2009;"School1";"Class1";"Child17";"F";9.53;-1.126;0.23
2009;"School1";"Class1";"Child18";"M";10.09;-0.839;1.675
2009;"School1";"Class1";"Child19";"M";10.13;0.686;-0.586
2009;"School1";"Class1";"Child20";"F";9.67;2.237;0.433
2009;"School1";"Class1";"Child21";"F";10.32;-2.245;-0.567
2009;"School1";"Class2";"Child22";"F";10.09;-0.356;0.069
2009;"School1";"Class2";"Child23";"M";9.69;0.062;1.233
2009;"School1";"Class2";"Child24";"F";9.59;-0.122;0.901
2009;"School1";"Class2";"Child25";"M";10.07;-0.068;1.645
2009;"School1";"Class2";"Child26";"F";9.68;-0.199;0.304
2009;"School1";"Class2";"Child27";"F";10.24;-0.957;0.381
2009;"School1";"Class2";"Child28";"M";10.17;-0.683;1.373
2009;"School1";"Class2";"Child29";"M";9.96;0.262;2.293
2009;"School1";"Class2";"Child30";"F";9.93;1.413;1.092
2009;"School1";"Class2";"Child31";"M";10.06;-0.105;0.569
2009;"School1";"Class2";"Child32";"F";9.7;0.748;0.662
2009;"School1";"Class2";"Child33";"M";9.71;-0.762;1.302
2009;"School1";"Class2";"Child34";"F";9.79;1.167;0.917
2009;"School1";"Class2";"Child35";"F";9.97;-0.472;1.371
2009;"School1";"Class2";"Child36";"M";10.28;0.078;1.001
2009;"School1";"Class2";"Child37";"F";9.64;1.011;0.427
2009;"School1";"Class2";"Child38";"F";10.06;0.279;1.09
2009;"School1";"Class2";"Child39";"M";10.47;-0.125;0.877
2009;"School1";"Class2";"Child40";"F";10.11;2.25;1.122
2009;"School1";"Class3";"Child41";"F";9.7;0.642;0.388
2009;"School1";"Class3";"Child42";"F";10.43;0.785;-0.056
2009;"School1";"Class3";"Child43";"M";9.58;-1.196;0.477
2009;"School1";"Class3";"Child44";"M";9.62;1.753;1.048
2009;"School1";"Class3";"Child45";"F";9.63;-2.21;0.835
2009;"School1";"Class3";"Child46";"M";9.71;-0.687;0.762
2009;"School1";"Class3";"Child47";"M";9.98;0.14;1.361
2009;"School1";"Class3";"Child48";"F";10.2;-1.242;0.378
2009;"School1";"Class3";"Child49";"F";10.04;-0.87;0.851
2009;"School1";"Class3";"Child50";"F";10.28;-0.568;0.262
2009;"School1";"Class3";"Child51";"F";9.93;-0.477;1.619
2009;"School1";"Class3";"Child52";"F";9.99;-0.943;0.602
2009;"School1";"Class3";"Child53";"M";9.62;0.432;1.015
2009;"School1";"Class3";"Child54";"M";10.33;1.353;0.961
2009;"School1";"Class3";"Child55";"M";9.66;0.843;0.974
2009;"School1";"Class3";"Child56";"M";10.42;-0.908;1.05
2009;"School1";"Class3";"Child57";"F";10.19;-0.612;-0.044
2009;"School1";"Class3";"Child58";"F";10.03;-1.049;1.728
2009;"School1";"Class3";"Child59";"F";10.41;0.522;0.377
2009;"School1";"Class3";"Child60";"F";10.3;2.487;0.105
2009;"School1";"Class4";"Child61";"M";9.55;-0.725;0.984
2009;"School1";"Class4";"Child62";"F";10.33;1.315;0.053
2009;"School1";"Class4";"Child63";"M";10.35;0.287;1.652
2009;"School1";"Class4";"Child64";"M";10.3;1.618;1.644
2009;"School1";"Class4";"Child65";"F";9.54;-1.036;1.443
2009;"School1";"Class4";"Child66";"F";10.25;-0.338;0.583
2009;"School1";"Class4";"Child67";"F";10.17;-0.353;0.922
2009;"School1";"Class4";"Child68";"M";9.69;1.256;1.612
2009;"School1";"Class4";"Child69";"F";9.65;0.805;1.172
2009;"School1";"Class4";"Child70";"M";10.45;-0.3;1.853
2009;"School1";"Class4";"Child71";"F";10.26;0.277;1.086
2009;"School1";"Class4";"Child72";"F";9.98;-1.336;0.116
2009;"School1";"Class4";"Child73";"F";10.12;2.725;0.532
2009;"School1";"Class4";"Child74";"F";10.07;1.39;-0.067
2009;"School1";"Class4";"Child75";"F";10.12;-0.568;0.392
2009;"School1";"Class5";"Child76";"F";10.31;0.189;-0.152
2009;"School1";"Class5";"Child77";"M";10.11;-0.739;0.479
2009;"School1";"Class5";"Child78";"M";10.2;1.15;2.225
2009;"School1";"Class5";"Child79";"F";9.89;-0.487;-0.4
2009;"School1";"Class5";"Child80";"M";9.71;-0.361;1.935
2009;"School1";"Class5";"Child81";"M";10.25;2.192;-0.146
2009;"School1";"Class5";"Child82";"F";9.56;-1.428;-0.031
2009;"School1";"Class5";"Child83";"M";9.84;-0.264;2.164
2009;"School1";"Class5";"Child84";"M";9.53;-2.027;1.505
2009;"School1";"Class5";"Child85";"F";9.76;1.469;0.787
2009;"School1";"Class5";"Child86";"F";9.66;-1.047;0.538
2009;"School1";"Class5";"Child87";"M";10.28;-1.427;0.979
2009;"School1";"Class5";"Child88";"F";10.49;-1.003;0.664
2009;"School1";"Class5";"Child89";"F";10.38;-1.129;0.647
2009;"School1";"Class5";"Child90";"F";10.29;-0.066;-1.093
2009;"School1";"Class5";"Child91";"F";10.08;-1.079;0.181
2009;"School1";"Class5";"Child92";"F";10.04;1.242;0.604
2009;"School1";"Class5";"Child93";"M";10.14;0.377;1.478
2009;"School1";"Class5";"Child94";"F";10.04;1.112;-0.423
2009;"School1";"Class5";"Child95";"M";9.79;1.15;1.205
2009;"School1";"Class5";"Child96";"M";9.59;-1.109;1.191
2009;"School1";"Class6";"Child97";"M";9.78;0.159;1.348
